codigo_postal,precio_m2,precio_medio,superficie_media,total_informados,total,es_estimado
46001,3564.824826,400157.191886,112.2515,159.0,173.0,0
46002,3329.189816,419839.371714,126.1085,175.0,273.0,0
46003,3436.637067,360787.978342,104.9828,175.0,199.0,0
46004,4982.029703,863053.612222,173.2333,90.0,95.0,0
46005,3889.953315,479412.554925,123.2437,201.0,219.0,0
46006,3021.001188,284901.009788,94.3068,616.0,658.0,0
46007,2536.241365,261250.271899,103.0068,437.0,470.0,0
46008,3078.623523,305768.888333,99.32,300.0,323.0,0
46009,2310.265834,209704.393157,90.7706,532.0,576.0,0
46010,3298.260904,396817.083444,120.311,209.0,223.0,0
46011,2925.908984,194314.779007,66.4117,816.0,919.0,0
46012,2074.391224,213605.850068,102.9727,147.0,163.0,0
46013,2436.711829,242879.772222,99.6752,234.0,248.0,0
46014,2221.595894,198272.338201,89.2477,545.0,565.0,0
46015,2707.931984,261071.647617,96.4099,361.0,387.0,0
46016,1376.29128,163662.76421,118.9157,95.0,110.0,0
46017,1914.795622,171390.931353,89.5087,458.0,483.0,0
46018,2247.858923,198820.239919,88.4487,624.0,662.0,0
46019,1807.027165,145157.96846,80.3297,552.0,573.0,0
46020,2603.247974,245301.648325,94.229,227.0,241.0,0
46021,2806.268425,265653.923486,94.6644,304.0,331.0,0
46022,2490.462182,226939.989934,91.1236,461.0,486.0,0
46023,3217.140161,306733.59049,95.3435,326.0,352.0,0
46024,2483.021592,236601.440223,95.2877,358.0,383.0,0
46025,2108.134886,187095.486591,88.7492,355.0,375.0,0
46026,1879.70867,203463.869565,108.2422,161.0,178.0,0
46035,1582.896429,163996.626324,103.6054,185.0,200.0,0
46100,1529.922101,157452.90895,102.9156,486.0,515.0,0
46110,2329.446243,355333.317699,152.5398,113.0,122.0,0
46112,2233.459441,538365.246363,241.0454,22.0,25.0,0
46117,2055.340498,349402.822389,169.9975,406.0,424.0,0
46120,2398.691655,288574.514609,120.3049,141.0,155.0,0
46130,1375.601466,158080.063502,114.917,217.0,258.0,0
46131,1533.255666,195106.783541,127.25,48.0,51.0,0
46135,1359.22261,168049.340909,123.6363,44.0,46.0,0
46160,1104.237334,146957.897386,133.0854,398.0,434.0,0
46180,923.69389,128362.063058,138.966,206.0,230.0,0
46182,2174.023545,425447.882352,195.696,102.0,106.0,0
46183,2282.984611,379134.723546,166.0697,172.0,196.0,0
46185,1713.337356,232119.732562,135.4781,320.0,342.0,0
46190,1390.397284,213213.623504,153.3472,311.0,380.0,0
46200,1466.203062,167504.759664,114.2439,328.0,343.0,0
46210,1616.906093,240022.891325,148.4457,83.0,90.0,0
46220,1217.743266,170388.2797,139.9213,267.0,297.0,0
46229,,,,,,0
46230,788.803545,118232.887037,149.8888,162.0,171.0,0
46240,640.351191,75188.336205,117.4173,369.0,453.0,0
46250,925.317993,92606.612297,100.0808,235.0,243.0,0
46268,,,,,2.0,0
46370,985.616117,169832.031921,172.3105,380.0,475.0,0
46450,848.08704,120828.095031,142.4713,157.0,167.0,0
46460,1144.503201,132149.072236,115.4641,237.0,245.0,0
46470,1249.414527,138597.678345,110.93,701.0,813.0,0
46500,1248.106453,149213.5579,119.5519,462.0,485.0,0
46520,1420.285811,144966.675555,102.0686,801.0,839.0,0
46530,1942.66531,233662.098834,120.2791,369.0,383.0,0
46600,940.795373,104023.968452,110.5702,840.0,982.0,0
46680,689.289369,87915.999606,127.5458,458.0,507.0,0
46701,1201.546168,138835.98121,115.5477,471.0,484.0,0
46702,1009.321307,107025.151682,106.0367,517.0,548.0,0
46728,1948.50818,337416.666666,173.1666,18.0,19.0,0
46730,1978.204523,177759.644872,89.859,589.0,648.0,0
46760,991.96465,101909.076139,102.7345,373.0,421.0,0
46780,1367.09265,164124.815822,120.0539,742.0,799.0,0
46792,941.080196,164285.714285,174.5714,14.0,15.0,0
46800,750.086596,103679.000196,138.2227,458.0,551.0,0
46870,751.997537,106520.04686,141.6494,465.0,520.0,0
46900,1280.278326,152396.307562,119.0337,919.0,1022.0,0
46901,1456.365707,406284.021826,278.9711,104.0,110.0,0
46909,,,,,,0
46910,1296.039964,134486.872484,103.7675,499.0,532.0,0
46920,2050.121714,186684.357282,91.0601,449.0,628.0,0
46930,1697.559723,153863.30112,90.6379,232.0,246.0,0
46940,1461.95668,151770.500393,103.8132,407.0,424.0,0
46950,1503.361645,131837.847119,87.6953,302.0,310.0,0
46960,1427.235383,143959.055582,100.8656,335.0,357.0,0
46970,1431.089651,133521.278669,93.3004,233.0,243.0,0
46980,1699.045857,191692.932139,112.8238,687.0,755.0,0
46988,,,,,1.0,0
46989,2094.200203,267875.521739,127.913,23.0,23.0,0
46111,2433.592275,553354.636363,227.3818,55.0,58.0,0
46113,1652.685411,188193.16201,113.8711,194.0,202.0,0
46114,1669.438948,183209.0,109.7428,35.0,38.0,0
46115,1787.251809,194434.183684,108.7894,38.0,39.0,0
46116,,,,,,0
46118,1125.754828,154369.130833,137.125,96.0,103.0,0
46119,1432.352455,194346.842908,135.6836,196.0,229.0,0
46132,1803.443347,178856.958762,99.1752,97.0,100.0,0
46133,1588.648468,176108.302083,110.8541,96.0,106.0,0
46134,1528.528191,174276.47619,114.0158,63.0,66.0,0
46136,1589.083304,163541.561325,102.9156,83.0,85.0,0
46137,2463.669424,189686.011006,76.9932,149.0,159.0,0
46138,1629.030182,176114.932205,108.1102,136.0,144.0,0
46139,1594.063928,158634.01134,99.5154,97.0,102.0,0
46149,1177.602813,159146.478,135.1444,90.0,98.0,0
46164,632.662018,120316.776842,190.1754,57.0,63.0,0
46169,833.145848,145001.616438,174.041,73.0,78.0,0
46170,454.331323,65411.26315,143.9726,73.0,88.0,0
46171,821.186579,122376.829268,149.0243,41.0,45.0,0
46184,2289.775427,359494.742083,157.0,144.0,148.0,0
46191,920.746069,122511.957224,133.0572,227.0,271.0,0
46192,1177.822798,174040.958617,147.7649,217.0,229.0,0
46193,1085.501517,140906.868686,129.808,99.0,108.0,0
46195,505.33309,95734.482758,189.4482,29.0,31.0,0
46196,610.335704,106027.5186,173.72,50.0,76.0,0
46260,645.382021,99227.485806,153.75,248.0,274.0,0
46270,526.052816,74981.313928,142.5357,84.0,97.0,0
46290,1084.801576,139859.377049,128.9262,122.0,127.0,0
46300,592.465937,73758.396585,124.4939,164.0,196.0,0
46312,1033.505154,160400.0,155.2,5.0,5.0,0
46313,563.380901,68476.387727,121.5454,22.0,30.0,0
46321,,,,,3.0,0
46351,,,,,1.0,0
46360,740.636634,84873.285702,114.595,121.0,131.0,0
46380,667.6612,122310.396153,183.1923,78.0,112.0,0
46388,1070.651324,141013.375912,131.708,137.0,144.0,0
46389,867.751754,138194.632083,159.2559,168.0,186.0,0
46400,1626.936402,158220.205669,97.2503,635.0,671.0,0
46408,1918.905146,186434.803921,97.1568,102.0,104.0,0
46409,1419.726197,182520.0,128.56,25.0,27.0,0
46410,1075.52892,110621.217807,102.8528,333.0,373.0,0
46419,1726.124791,149797.612318,86.7826,69.0,70.0,0
46420,1757.8498,154914.001428,88.1269,63.0,68.0,0
46440,1117.514156,159239.344827,142.4942,87.0,95.0,0
46512,1081.283617,111194.95295,102.836,61.0,63.0,0
46529,1710.324931,188364.247368,110.1336,247.0,256.0,0
46540,2454.356824,266031.683741,108.3916,286.0,312.0,0
46550,1320.232126,175887.925,133.225,40.0,41.0,0
46560,1457.752192,179658.108108,123.2432,37.0,39.0,0
46610,647.311055,88867.623563,137.2873,87.0,108.0,0
46612,651.876424,75638.359682,116.0317,63.0,69.0,0
46614,829.162778,104136.076326,125.5918,49.0,60.0,0
46620,438.783388,70241.161224,160.0816,49.0,56.0,0
46640,462.788373,80274.5,173.4583,48.0,57.0,0
46650,495.306275,71129.791153,143.6076,130.0,143.0,0
46659,835.367886,102750.25,123.0,4.0,5.0,0
46670,627.766984,86550.841612,137.8709,62.0,66.0,0
46687,586.859341,74779.423076,127.423,52.0,60.0,0
46690,480.769126,68103.433563,141.6551,87.0,95.0,0
46691,408.439784,62116.883888,152.0833,36.0,46.0,0
46710,1951.682494,171100.977647,87.6684,187.0,195.0,0
46711,1477.682241,141143.011428,95.5164,182.0,190.0,0
46712,1346.741976,127113.774851,94.3861,101.0,107.0,0
46713,1098.842481,117246.492785,106.7,140.0,152.0,0
46717,954.145252,123766.269841,129.7142,126.0,141.0,0
46720,897.601766,98642.937012,109.8961,77.0,83.0,0
46727,723.538109,131278.04878,181.439,41.0,44.0,0
46740,705.454468,98493.163801,139.6166,313.0,431.0,0
46749,279.072133,42837.5725,153.5,4.0,5.0,0
46750,679.928587,89650.584117,131.8529,34.0,42.0,0
46770,1136.065712,133056.30386,117.1202,158.0,168.0,0
46812,467.544249,72681.878787,155.4545,33.0,43.0,0
46815,469.99011,69397.396857,147.6571,35.0,40.0,0
46823,348.867817,61964.862553,177.617,47.0,54.0,0
46830,508.621631,73721.879861,144.9444,72.0,86.0,0
46838,480.720492,78102.941176,162.4705,34.0,38.0,0
46850,668.171786,77030.661688,115.2857,154.0,187.0,0
46860,403.217929,65562.403917,162.5979,97.0,113.0,0
46880,586.085537,81609.420816,139.2448,49.0,58.0,0
46894,570.931133,97965.065588,171.5882,34.0,36.0,0
46140,274.339092,42676.875,155.5625,16.0,27.0,0
46148,498.451973,61870.35125,124.125,8.0,8.0,0
46163,960.620525,161000.0,167.6,25.0,32.0,0
46177,346.887855,47223.0,136.1333,30.0,33.0,0
46178,227.805302,52536.241904,230.619,21.0,29.0,0
46181,1090.144534,142881.610333,131.0666,30.0,33.0,0
46194,710.048234,116897.607666,164.6333,30.0,34.0,0
46266,334.862385,56153.846153,167.6923,13.0,15.0,0
46269,568.443051,108800.0,191.4,10.0,10.0,0
46291,543.730509,89021.808965,163.7241,29.0,30.0,0
46292,475.57591,72483.363823,152.4117,34.0,38.0,0
46293,548.701506,100183.75,182.5833,36.0,37.0,0
46294,461.291788,73026.038461,158.3076,26.0,30.0,0
46295,451.240538,71362.855555,158.1481,27.0,29.0,0
46320,652.594547,67454.545454,103.3636,11.0,13.0,0
46330,854.251012,74470.588235,87.1764,17.0,19.0,0
46340,801.090437,95381.57388,119.0646,201.0,235.0,0
46352,383.777239,63400.0,165.2,10.0,24.0,0
46353,,,,,,0
46354,360.611038,49895.454545,138.3636,11.0,11.0,0
46355,459.715624,58199.998,126.6,5.0,7.0,0
46356,,,,,3.0,0
46357,1312.202852,127384.615384,97.0769,13.0,16.0,0
46367,621.404483,66405.542727,106.8636,44.0,47.0,0
46368,489.883967,80659.964883,164.6511,43.0,45.0,0
46369,917.985767,114891.65625,125.1562,32.0,33.0,0
46390,467.773536,55707.575757,119.0909,33.0,43.0,0
46391,815.881796,86279.5,105.75,4.0,5.0,0
46392,902.993901,95179.857142,105.4047,42.0,45.0,0
46393,1352.562837,187803.35,138.85,20.0,21.0,0
46417,1013.938753,106688.888888,105.2222,18.0,22.0,0
46418,789.069171,115500.0,146.375,8.0,8.0,0
46430,835.480454,109591.164714,131.1714,70.0,71.0,0
46439,,,,,4.0,0
46469,908.142727,130851.521739,144.0869,23.0,27.0,0
46501,1095.168507,135443.774782,123.6739,46.0,48.0,0
46510,1003.157397,132974.086111,132.5555,18.0,20.0,0
46511,982.54916,116316.48147,118.3823,34.0,35.0,0
46515,822.15882,115266.666666,140.2,15.0,15.0,0
46590,697.247706,118222.222222,169.5555,18.0,21.0,0
46591,1032.802756,165628.947368,160.3684,38.0,43.0,0
46613,707.523769,87245.0,123.3103,29.0,30.0,0
46625,393.078785,55817.1875,142.0,12.0,16.0,0
46630,411.760211,50043.571428,121.5357,28.0,34.0,0
46660,612.00882,83443.031142,136.3428,35.0,45.0,0
46666,522.427652,99515.004571,190.4857,35.0,41.0,0
46667,444.647606,89166.666666,200.5333,15.0,24.0,0
46668,436.418309,82986.62,190.1538,13.0,15.0,0
46669,614.96502,81944.088928,133.25,28.0,31.0,0
46688,683.249466,94832.237142,138.7959,49.0,50.0,0
46689,721.815932,97252.666666,134.7333,15.0,17.0,0
46692,461.736409,80688.4375,174.75,16.0,21.0,0
46703,1173.438534,180496.181818,153.8181,11.0,11.0,0
46714,899.885057,123615.789473,137.3684,19.0,21.0,0
46715,611.363152,95678.333333,156.5,30.0,33.0,0
46716,604.200064,104694.444444,173.2777,18.0,20.0,0
46721,769.830188,97145.238095,126.1904,21.0,27.0,0
46722,920.515517,150417.211351,163.4054,37.0,56.0,0
46723,812.530906,103036.65738,126.8095,42.0,48.0,0
46724,870.370033,117412.9175,134.9,40.0,47.0,0
46725,863.38439,101460.0,117.5142,35.0,42.0,0
46726,692.962962,116937.5,168.75,16.0,18.0,0
46729,931.483382,142067.275862,152.5172,29.0,32.0,0
46758,855.500581,276059.34375,322.6875,32.0,36.0,0
46790,1169.30848,135591.0625,115.9583,48.0,51.0,0
46791,392.340425,59930.0,152.75,16.0,16.0,0
46810,482.92188,68943.237288,142.7627,59.0,73.0,0
46811,,,,,1.0,0
46816,368.060824,50362.989444,136.8333,18.0,25.0,0
46820,467.216522,60944.04,130.4406,59.0,61.0,0
46821,444.318007,78091.891891,175.7567,37.0,47.0,0
46822,411.689291,64223.529411,156.0,17.0,17.0,0
46837,466.971333,80285.714285,171.9285,14.0,18.0,0
46840,516.371818,85201.35,165.0,14.0,17.0,0
46841,401.034775,50300.0,125.4255,47.0,49.0,0
46842,500.403287,77003.235294,153.8823,17.0,20.0,0
46869,511.010446,80131.304761,156.8095,21.0,22.0,0
46890,625.011934,92429.649615,147.8846,26.0,31.0,0
46892,336.614274,81650.0,242.5625,16.0,20.0,0
46893,399.443207,44837.5,112.25,8.0,8.0,0
46141,198.535262,43916.0,221.2,5.0,8.0,0
46143,,,,,2.0,0
46145,,,,,2.0,0
46146,,,,,9.0,0
46147,,,,,5.0,0
46162,598.364937,117023.085714,195.5714,7.0,10.0,0
46165,532.373199,77290.90909,145.1818,11.0,11.0,0
46166,496.456876,70993.333333,143.0,15.0,21.0,0
46167,772.132006,98266.666666,127.2666,15.0,16.0,0
46168,605.35117,51714.285714,85.4285,7.0,8.0,0
46172,513.977142,76108.153846,148.0769,13.0,15.0,0
46173,492.058516,58862.5,119.625,8.0,11.0,0
46174,1203.703703,181071.428571,150.4285,7.0,9.0,0
46175,596.013855,73379.823529,123.1176,17.0,18.0,0
46176,442.179828,50388.401363,113.9545,44.0,53.0,0
46179,,,,,4.0,0
46198,586.158815,62216.571428,106.1428,7.0,9.0,0
46199,410.565723,54833.333333,133.5555,9.0,15.0,0
46267,754.132539,101280.0,134.3,10.0,11.0,0
46310,434.790109,44476.470588,102.2941,17.0,26.0,0
46311,,,,,6.0,0
46314,459.033614,97039.706,211.4,10.0,14.0,0
46315,671.646341,73433.333333,109.3333,12.0,15.0,0
46317,449.97363,63382.0,140.8571,7.0,11.0,0
46350,498.547918,51500.0,103.3,10.0,15.0,0
46514,1049.035874,124765.333333,118.9333,15.0,15.0,0
46592,391.203703,63375.0,162.0,4.0,4.0,0
46593,689.859693,196672.727272,285.0909,11.0,11.0,0
46594,604.784366,128214.285714,212.0,7.0,7.0,0
46595,1084.083601,168575.0,155.5,20.0,20.0,0
46611,775.69185,93138.428571,120.0714,14.0,14.0,0
46621,,,,,4.0,0
46622,359.666666,67437.5,187.5,8.0,15.0,0
46623,237.808549,39500.0,166.1,10.0,18.0,0
46624,359.054607,61884.117647,172.3529,17.0,21.0,0
46635,450.079803,70501.786428,156.6428,14.0,15.0,0
46813,550.58651,93875.0,170.5,8.0,9.0,0
46814,480.423341,95784.40375,199.375,24.0,26.0,0
46817,,,,,1.0,0
46818,,,,,4.0,0
46819,565.547981,89875.0,158.9166,12.0,12.0,0
46824,249.848812,57840.0,231.5,10.0,13.0,0
46825,,,,,4.0,0
46839,392.345476,73730.76923,187.923,13.0,16.0,0
46843,435.403283,87142.857142,200.1428,7.0,8.0,0
46844,469.15274,119399.3725,254.5,4.0,5.0,0
46868,387.804878,58300.0,150.3333,9.0,10.0,0
46891,362.642712,34088.415,94.0,54.0,57.0,0
03001,2768.647219,283770.053823,102.4941,170.0,179.0,0
03002,2716.035865,247881.007552,91.2657,143.0,156.0,0
03003,2594.818443,305833.333333,117.863,168.0,183.0,0
03004,2077.669678,216695.796198,104.2975,242.0,255.0,0
03005,2130.336752,213522.684386,100.2295,440.0,458.0,0
03006,1529.56685,131448.490084,85.9383,357.0,377.0,0
03007,1766.736621,168335.527103,95.2804,328.0,358.0,0
03008,2482.257095,254596.257447,102.5664,286.0,302.0,0
03009,1488.657919,134609.224948,90.4232,293.0,311.0,0
03010,1475.330618,136218.870945,92.331,296.0,320.0,0
03011,909.807598,76573.719913,84.1647,346.0,385.0,0
03012,1373.675838,121012.402389,88.0938,586.0,608.0,0
03013,1630.121136,136592.477723,83.7928,391.0,412.0,0
03014,877.669777,64567.140102,73.5665,293.0,321.0,0
03015,1551.288688,160843.480972,103.6837,370.0,406.0,0
03016,2757.725747,278818.421144,101.1044,201.0,212.0,0
03110,1756.703524,234146.575995,133.2874,487.0,510.0,0
03112,1233.969753,143978.372098,116.679,81.0,89.0,0
03113,1410.99526,212657.142857,150.7142,21.0,24.0,0
03114,1753.420217,241752.8125,137.875,16.0,17.0,0
03130,2430.946952,197444.664021,81.2212,1681.0,1767.0,0
03138,2692.307692,161000.0,59.8,5.0,5.0,0
03140,2245.145808,176988.29813,78.8315,1300.0,1397.0,0
03158,1015.715651,149863.635641,147.5448,156.0,174.0,0
03170,2334.826147,249003.716306,106.6476,999.0,1027.0,0
03177,1888.248771,166556.564059,88.2068,638.0,655.0,0
03179,1217.549308,97832.341666,80.3518,162.0,199.0,0
03181,1680.537475,121065.9197,72.04,900.0,1050.0,0
03182,1813.050692,118774.527453,65.5108,1288.0,1447.0,0
03183,2497.246089,162719.847899,65.1597,1271.0,1325.0,0
03184,2016.137219,138371.808074,68.6321,753.0,781.0,0
03185,2711.238022,189634.17352,69.9437,889.0,921.0,0
03186,2370.373483,210765.708947,88.9166,228.0,234.0,0
03188,2448.336909,148520.4375,60.6617,476.0,498.0,0
03190,2128.101906,202243.773636,95.0348,517.0,542.0,0
03194,1930.678045,160246.277777,83.0,54.0,60.0,0
03195,2335.668226,194896.71,83.4436,284.0,306.0,0
03201,1236.836488,122903.145181,99.3689,496.0,540.0,0
03202,1569.381636,165643.327421,105.5468,256.0,301.0,0
03203,1552.926648,157511.816203,101.429,324.0,379.0,0
03204,1241.4375,128194.567803,103.263,346.0,366.0,0
03205,1135.731986,112928.333898,99.4322,236.0,258.0,0
03206,909.110434,80248.391487,88.2713,457.0,489.0,0
03207,1260.91037,268700.0,213.1,10.0,16.0,0
03208,1953.886073,217083.480344,111.1034,29.0,52.0,0
03290,1519.003378,513857.142857,338.2857,7.0,9.0,0
03291,1587.935761,405400.0,255.3,10.0,10.0,0
03292,1351.878172,153646.153846,113.6538,26.0,27.0,0
03293,1927.264287,203452.073478,105.5652,23.0,28.0,0
03294,1802.606305,187271.618468,103.8893,235.0,276.0,0
03295,1417.214532,218440.0,154.1333,15.0,22.0,0
03296,917.473663,236891.7,258.2,20.0,25.0,0
03317,,,,,3.0,0
03320,1198.668572,123758.425068,103.2465,73.0,79.0,0
03340,786.06868,100330.243842,127.6354,203.0,240.0,0
03409,568.378913,99521.314193,175.0967,31.0,35.0,0
03440,888.62891,94933.692558,106.8316,297.0,329.0,0
03501,2233.11394,172677.962732,77.326,322.0,345.0,0
03502,3476.620899,280667.790119,80.73,752.0,827.0,0
03503,2845.297066,201936.452328,70.972,786.0,842.0,0
03530,1875.446708,245756.969765,131.0391,383.0,412.0,0
03540,3429.993258,380534.305821,110.9431,651.0,725.0,0
03550,2468.516708,260744.165344,105.6278,653.0,699.0,0
03559,2118.722706,227611.353571,107.4285,14.0,14.0,0
03560,2562.255678,262588.372948,102.4832,658.0,729.0,0
03570,2262.230533,217316.286533,96.0628,923.0,1016.0,0
03590,2880.536798,378276.843773,131.3216,485.0,517.0,0
03599,2785.138387,445086.538461,159.8076,52.0,55.0,0
03600,780.563048,80375.156154,102.9707,957.0,1071.0,0
03610,988.861728,105406.390864,106.5936,347.0,379.0,0
03657,,,,,3.0,0
03660,796.147282,91646.676589,115.1127,346.0,373.0,0
03680,879.675953,115857.175693,131.7043,274.0,288.0,0
03690,1630.450337,189172.66352,116.0247,605.0,677.0,0
03699,939.347414,224828.534,239.3454,55.0,62.0,0
